t,S,I,R,D,beta,gamma,mu,R0
245.0,5657415.5,82319.29,247733.16,12675.516,0.013552826,0.019853696,0.0012714685,0.64154893
246.0,5656375.0,81622.02,249364.1,12777.255,0.013704132,0.020074189,0.0012812078,0.64171755
247.0,5655332.0,80922.35,250999.06,12878.971,0.013862979,0.020300075,0.0012910843,0.6420673
248.0,5654286.0,80220.555,252638.23,12980.671,0.014029067,0.020531282,0.0013010979,0.64258075
249.0,5653236.5,79516.98,254281.5,13082.346,0.0142022185,0.020767704,0.0013112515,0.6432468
250.0,5652184.0,78811.84,255929.06,13184.0,0.014382195,0.021009251,0.0013215482,0.6440519
251.0,5651127.5,78105.43,257580.9,13285.633,0.0145688765,0.02125585,0.001331988,0.6449876
252.0,5650067.0,77397.95,259237.19,13387.25,0.0147619955,0.021507457,0.0013425738,0.6460383
253.0,5649002.5,76689.72,260897.83,13488.842,0.0149614625,0.021763965,0.0013533086,0.6471984
254.0,5647933.5,75980.914,262562.9,13590.416,0.015167069,0.022025317,0.0013641954,0.648456
255.0,5646860.0,75271.76,264232.44,13691.967,0.015378665,0.022291467,0.0013752371,0.64980173
256.0,5645781.5,74562.51,265906.38,13793.496,0.015596133,0.022562325,0.0013864338,0.65122926
257.0,5644698.0,73853.36,267584.72,13895.004,0.015819293,0.022837847,0.0013977856,0.6527287
258.0,5643609.5,73144.48,269267.5,13996.49,0.016048085,0.02311799,0.0014093012,0.654295
259.0,5642516.0,72436.08,270954.72,14097.956,0.016282331,0.023402706,0.0014209807,0.65591913
260.0,5641417.0,71728.336,272646.25,14199.398,0.016521972,0.023691937,0.0014328242,0.6575971
261.0,5640313.0,71021.46,274342.06,14300.813,0.016766857,0.02398564,0.0014448405,0.6593213
262.0,5639203.5,70315.586,276042.2,14402.205,0.017016929,0.024283767,0.0014570237,0.66108805
263.0,5638088.0,69610.875,277746.53,14503.571,0.017272066,0.024586275,0.0014693857,0.66289115
264.0,5636967.5,68907.49,279454.94,14604.909,0.017532181,0.02489315,0.0014819205,0.6647255
265.0,5635842.0,68205.61,281167.4,14706.216,0.017797243,0.025204316,0.0014946401,0.66658944
266.0,5634710.5,67505.375,282883.9,14807.492,0.018067133,0.025519773,0.0015075386,0.6684768
267.0,5633573.0,66806.88,284604.3,14908.739,0.01834179,0.025839463,0.0015206247,0.67038494
268.0,5632431.0,66110.3,286328.44,15009.948,0.018621098,0.02616337,0.0015339017,0.672308
269.0,5631283.0,65415.746,288056.25,15111.12,0.018905085,0.026491448,0.0015473694,0.67424685
270.0,5630129.5,64723.35,289787.7,15212.252,0.01919363,0.026823685,0.0015610307,0.676196
271.0,5628971.0,64033.215,291522.53,15313.343,0.019486677,0.027160019,0.0015748948,0.67815334
272.0,5627807.0,63345.504,293260.72,15414.386,0.019784253,0.02750048,0.0015889585,0.680118
273.0,5626638.0,62660.254,295002.06,15515.378,0.02008621,0.027844965,0.0016032249,0.6820864
