t,S,I,R,D,beta,gamma,mu,R0
144.0,5765799.0,-4.1064453,53087.867,3266.581,0.020240698,0.030073512,0.0001457595,0.6697944
145.0,5765799.0,-4.0532227,53087.74,3266.5789,0.02023314,0.03007353,0.00014572061,0.66954476
146.0,5765799.0,-3.9985352,53087.61,3266.5774,0.020225648,0.030073548,0.0001456822,0.6692972
147.0,5765799.5,-3.9448242,53087.48,3266.5757,0.020218212,0.030073566,0.00014564423,0.66905165
148.0,5765799.5,-3.8916016,53087.355,3266.5742,0.020210847,0.030073587,0.00014560675,0.6688083
149.0,5765799.5,-3.8398438,53087.227,3266.5732,0.020203544,0.030073607,0.00014556978,0.668567
150.0,5765799.5,-3.7875977,53087.105,3266.5718,0.020196298,0.03007363,0.00014553325,0.6683275
151.0,5765799.5,-3.7358398,53086.98,3266.571,0.020189121,0.030073652,0.00014549721,0.66809034
152.0,5765799.5,-3.6860352,53086.855,3266.57,0.020182002,0.030073674,0.0001454617,0.667855
153.0,5765799.5,-3.637207,53086.74,3266.5693,0.020174954,0.030073699,0.00014542659,0.667622
154.0,5765799.5,-3.586914,53086.613,3266.5688,0.020167958,0.030073723,0.00014539198,0.66739076
155.0,5765799.5,-3.5361328,53086.492,3266.5684,0.020161036,0.030073749,0.00014535783,0.6671619
156.0,5765799.5,-3.487793,53086.375,3266.568,0.02015417,0.030073775,0.00014532417,0.66693485
157.0,5765799.5,-3.4389648,53086.26,3266.568,0.020147376,0.030073801,0.00014529098,0.66671014
158.0,5765799.5,-3.3916016,53086.14,3266.568,0.02014064,0.030073829,0.00014525821,0.6664874
159.0,5765800.0,-3.3432617,53086.027,3266.5684,0.02013397,0.030073859,0.00014522596,0.6662667
160.0,5765800.0,-3.2973633,53085.91,3266.5686,0.020127356,0.030073887,0.00014519418,0.66604793
161.0,5765800.0,-3.25,53085.797,3266.5688,0.020120814,0.030073918,0.00014516285,0.66583145
162.0,5765800.0,-3.2041016,53085.684,3266.5698,0.020114334,0.030073948,0.00014513197,0.66561705
163.0,5765800.0,-3.1586914,53085.58,3266.5706,0.02010791,0.03007398,0.00014510157,0.6654044
164.0,5765800.0,-3.1132812,53085.46,3266.5713,0.020101558,0.030074013,0.00014507165,0.66519415
165.0,5765800.0,-3.069336,53085.355,3266.5723,0.020095265,0.030074047,0.00014504216,0.6649858
166.0,5765800.0,-3.0239258,53085.242,3266.5735,0.020089034,0.03007408,0.00014501314,0.66477954
167.0,5765800.0,-2.9804688,53085.137,3266.5747,0.020082869,0.030074116,0.00014498462,0.66457534
168.0,5765800.0,-2.9384766,53085.027,3266.5764,0.020076768,0.030074151,0.00014495649,0.6643733
169.0,5765800.0,-2.8950195,53084.92,3266.578,0.02007073,0.030074188,0.00014492887,0.66417325
170.0,5765800.0,-2.8530273,53084.82,3266.5793,0.020064753,0.030074226,0.0001449017,0.66397524
171.0,5765800.0,-2.8115234,53084.715,3266.5815,0.020058839,0.030074265,0.000144875,0.66377926
172.0,5765800.0,-2.7700195,53084.613,3266.5835,0.02005299,0.030074304,0.00014484872,0.6635854
