t,S,I,R,D,beta,gamma,mu,R0
178.0,5833199.0,0.083984375,25191.299,2271.593,0.011672469,0.030147938,0.00017936795,0.38488317
179.0,5833199.0,0.09082031,25191.295,2271.5957,0.011670657,0.030147497,0.00017888329,0.38483518
180.0,5833199.0,0.09765625,25191.291,2271.5984,0.011668865,0.030147059,0.0001784027,0.3847877
181.0,5833199.0,0.10449219,25191.285,2271.601,0.01166709,0.030146623,0.00017792625,0.38474074
182.0,5833199.0,0.111328125,25191.281,2271.604,0.011665334,0.030146189,0.0001774538,0.38469434
183.0,5833199.0,0.11767578,25191.277,2271.6064,0.011663594,0.030145759,0.0001769854,0.38464838
184.0,5833199.0,0.12451172,25191.271,2271.6091,0.011661874,0.030145332,0.00017652099,0.38460293
185.0,5833199.0,0.13183594,25191.268,2271.6118,0.011660172,0.030144908,0.00017606051,0.38455802
186.0,5833199.0,0.13867188,25191.262,2271.6145,0.011658487,0.030144485,0.00017560387,0.38451362
187.0,5833199.0,0.14501953,25191.258,2271.6172,0.01165682,0.030144066,0.00017515112,0.3844697
188.0,5833199.0,0.15234375,25191.252,2271.6199,0.011655171,0.030143648,0.0001747022,0.3844263
189.0,5833199.0,0.1586914,25191.248,2271.6223,0.011653541,0.030143235,0.00017425712,0.38438338
190.0,5833199.0,0.16552734,25191.242,2271.625,0.011651927,0.030142823,0.00017381576,0.38434097
191.0,5833199.0,0.17285156,25191.236,2271.6274,0.011650331,0.030142415,0.00017337812,0.38429907
192.0,5833199.0,0.17919922,25191.23,2271.6301,0.011648753,0.03014201,0.00017294417,0.38425764
193.0,5833199.0,0.18603516,25191.227,2271.6326,0.011647193,0.030141607,0.00017251387,0.38421673
194.0,5833199.0,0.1928711,25191.22,2271.635,0.011645649,0.030141206,0.00017208717,0.38417628
195.0,5833199.0,0.19921875,25191.215,2271.6375,0.011644123,0.030140808,0.00017166407,0.38413638
196.0,5833199.0,0.20654297,25191.209,2271.64,0.011642614,0.030140413,0.00017124446,0.38409692
197.0,5833199.0,0.2133789,25191.205,2271.6423,0.011641124,0.03014002,0.00017082847,0.384058
198.0,5833199.0,0.22021484,25191.197,2271.6445,0.01163965,0.030139629,0.00017041586,0.38401955
199.0,5833199.5,0.22705078,25191.193,2271.647,0.011638192,0.030139241,0.00017000674,0.38398156
200.0,5833199.5,0.23388672,25191.188,2271.6494,0.011636754,0.030138856,0.00016960104,0.38394412
201.0,5833199.5,0.24023438,25191.182,2271.6519,0.011635331,0.030138474,0.00016919868,0.3839071
202.0,5833199.5,0.24707031,25191.174,2271.654,0.011633926,0.030138094,0.00016879973,0.3838706
203.0,5833199.5,0.25390625,25191.168,2271.6562,0.0116325375,0.030137716,0.00016840406,0.3838346
204.0,5833199.5,0.2607422,25191.162,2271.6587,0.011631165,0.030137341,0.00016801173,0.38379902
205.0,5833199.5,0.26708984,25191.154,2271.661,0.0116298115,0.030136969,0.00016762262,0.383764
206.0,5833199.5,0.27490234,25191.148,2271.663,0.011628472,0.030136598,0.00016723672,0.38372937
207.0,5833199.5,0.28173828,25191.143,2271.6653,0.011627152,0.03013623,0.00016685408,0.38369533
208.0,5833199.5,0.28808594,25191.135,2271.6675,0.011625847,0.030135864,0.00016647457,0.38366172
209.0,5833199.5,0.29492188,25191.127,2271.6694,0.011624559,0.030135501,0.00016609821,0.38362858
210.0,5833199.5,0.3017578,25191.123,2271.6719,0.011623288,0.030135142,0.00016572492,0.38359588
211.0,5833199.5,0.30859375,25191.115,2271.6738,0.011622032,0.030134782,0.00016535477,0.3835637
212.0,5833199.5,0.31445312,25191.11,2271.6758,0.0116207935,0.030134426,0.00016498764,0.38353196
213.0,5833199.5,0.32128906,25191.104,2271.678,0.01161957,0.030134073,0.00016462353,0.38350064
214.0,5833199.5,0.32910156,25191.096,2271.6802,0.011618365,0.030133722,0.0001642624,0.38346988
215.0,5833199.5,0.3359375,25191.088,2271.6821,0.011617174,0.030133372,0.00016390425,0.38343957
216.0,5833199.5,0.34277344,25191.08,2271.684,0.011616001,0.030133026,0.00016354906,0.3834097
217.0,5833199.5,0.35009766,25191.072,2271.6863,0.011614843,0.030132681,0.00016319676,0.3833803
218.0,5833199.5,0.35546875,25191.068,2271.688,0.0116137015,0.03013234,0.00016284734,0.38335136
219.0,5833199.5,0.36328125,25191.06,2271.69,0.011612576,0.030132,0.00016250083,0.38332292
220.0,5833199.5,0.37109375,25191.053,2271.6921,0.011611467,0.030131662,0.00016215708,0.38329494
